Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Starting Balance,Credit Max
90,Daniel,L,19-Jul-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,1089,585.99,2089,180.84,3089,9320.0,-777.42
89,Daniel,K,8-May-73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,1088,1082.73,2088,3471.09,3088,6307.0,-88.26
73,Roberto,Carrasco,21-Oct-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,1072,5170.36,2072,2408.91,3072,9319.0,-160.00
88,Daniel,J,20-Oct-43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,1087,1924.71,2087,2813.64,3087,8702.0,-986.39
87,Daniel,I,23-Dec-35,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,1086,1927.47,2086,2348.02,3086,7232.0,-1927.99
86,Daniel,H,2-May-37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,1085,1326.34,2085,3465.11,3085,9853.0,-1977.56
85,Daniel,G,18-Nov-77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,1084,1930.60,2084,3788.92,3084,8439.0,-1101.55
84,Daniel,F,24-Mar-86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,1083,214.25,2083,1020.81,3083,7196.0,-814.22
83,Daniel,E,17-Jun-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,1082,190.25,2082,3689.98,3082,7011.0,-269.32
72,Robert,Evans,8-Aug-55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,1071,5264.75,2071,2907.59,3071,5198.0,-329.08
82,Daniel,D,7-Oct-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,1081,731.60,2081,3235.49,3081,9172.0,-883.24
55,Gildardo,Orea,13-Mar-51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,1054,4318.69,2054,179.25,3054,4072.0,-1514.01
81,Daniel,C,25-May-47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,1080,909.74,2080,342.74,3080,9400.0,-505.40
66,Lidice,Castro Jimenez,27-Jan-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,1065,5969.51,2065,655.67,3065,4080.0,-1930.17
80,Daniel,B,25-Dec-18,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,1079,362.40,2079,2413.60,3079,8357.0,-1911.51
16,Woody,Disney,2-Apr-95,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1015,224.02,2015,2429.23,3015,7932.0,-1005.79
79,Daniel,A,5-Mar-39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,1078,857.56,2078,3364.79,3078,7985.0,-786.93
7,Dale,Disney,19-Aug-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1006,843.71,2006,4062.80,3006,3219.0,-53.21
44,Brandon,Bustamante,17-Oct-53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,1043,4380.55,2043,3764.74,3043,6698.0,-1452.54
60,Joseph,Medina - Sandoval,18-Sep-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,1059,4937.98,2059,3790.64,3059,8612.0,-678.52
29,Evil,Queen,19-Dec-42,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1028,238.09,2028,4844.83,3028,7647.0,-367.09
36,Stitch,Disney,3-Feb-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1035,358.07,2035,4919.61,3035,8172.0,-16.87
53,Federico,Marin,18-Jan-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,1052,5929.63,2052,2348.86,3052,3977.0,-267.18
52,Estevan,Ramos,15-Dec-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,1051,4811.90,2051,2939.07,3051,6176.0,-860.87
49,Derek,Aguirre,5-May-41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,1048,5880.03,2048,3352.49,3048,8899.0,-58.57
1,Mickey,Mouse,25-Apr-92,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1000,585.15,2000,4231.00,3000,9151.0,-1353.84
33,Hercules,Disney,30-Jun-66,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1032,1270.03,2032,1388.27,3032,5094.0,-1855.19
2,Donald,Duck,7-Apr-94,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1001,1980.12,2001,3582.37,3001,8147.0,-1513.57
61,Juan,Gutierrez,9-Jan-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,1060,4567.43,2060,3227.73,3060,9566.0,-1581.21
47,Dafne,Bencomo,12-Jul-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,1046,4559.17,2046,1812.87,3046,8798.0,-1863.49
35,Lilo,Disney,19-Jul-44,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1034,1763.47,2034,1942.89,3034,7722.0,-1715.37
13,Mufassa,Disney,19-Jan-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1012,115.14,2012,3811.58,3012,7463.0,-1112.18
51,Ervey,Montes,5-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,1050,5618.89,2050,1304.98,3050,5439.0,-677.71
62,Juan,Rabelo,29-Apr-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,1061,5885.30,2061,3607.48,3061,3109.0,-674.27
57,Hernan,Garcia,30-Mar-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,1056,4169.93,2056,3011.80,3056,8216.0,-990.67
63,Judith,Garcia,7-Mar-97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,1062,5752.37,2062,3508.77,3062,5693.0,-444.56
76,Nathan,Aun,6-Aug-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,1075,1352.30,2075,132.29,3075,8789.0,-1240.71
18,Jafar,Aladdin,20-Jan-83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,505.71,2017,2220.54,3017,3029.0,-406.48
78,Daniel,Mejia,29-Jan-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,1077,40887.12,2077,2051.62,3077,7600.0,-1231.96
58,Isaiah,Landin,28-Feb-28,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,1057,5855.81,2057,1600.38,3057,6858.0,-407.11
30,Pinocchio,Disney,20-Mar-08,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1029,1246.66,2029,1412.45,3029,9149.0,-14.76
48,David,Baptiste,5-May-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,1047,5125.44,2047,3271.72,3047,7772.0,-281.86
27,Captaiin,Hook,12-May-01,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1026,369.27,2026,3283.45,3026,9203.0,-1813.88
28,Kaa,Disney,22-Feb-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1027,916.93,2027,423.80,3027,3237.0,-864.26
15,Peter,Pan,29-May-87,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1014,41.62,2014,2218.48,3014,5699.0,-1137.78
26,Shere,Khan,21-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1025,647.57,2025,1735.62,3025,7035.0,-115.92
6,Chip,Disney,25-Aug-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1005,32.84,2005,3687.14,3005,8089.0,-1451.70
65,Laurence,Labayen,11-Mar-10,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,1064,5113.24,2064,4572.26,3064,5079.0,-1064.52
19,Ursela,Mermaid,30-Jun-00,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1018,1333.17,2018,1476.79,3018,6570.0,-1147.68
56,Grecia,Navarrete,1-Aug-60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,1055,5650.93,2055,2738.60,3055,9764.0,-305.52
21,Belle,Disney,5-Oct-54,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1020,517.81,2020,2400.05,3020,8396.0,-1024.19
17,Buzz,Lightyear,12-Mar-63,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1016,629.61,2016,21.17,3016,3624.0,-1215.99
67,Manuel,Melendez Lujan,18-Mar-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,1066,5336.93,2066,4334.35,3066,7545.0,-1003.98
42,Anthony,Jasso,8-Dec-44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,1041,4708.62,2041,547.41,3041,3753.0,-530.31
34,Mulan,Disney,14-Oct-79,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1033,1737.78,2033,1216.15,3033,7881.0,-397.68
71,Oscar,Decena,14-Nov-07,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,1070,5479.47,2070,529.74,3070,8674.0,-689.71
43,Arae,Zarzosa,20-Sep-14,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,1042,6023.37,2042,4248.79,3042,8629.0,-268.92
23,Scar,Lion,29-Jul-29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1022,941.51,2022,4315.01,3022,4563.0,-140.99
41,Alyssandra,Cordero,30-Aug-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,1040,5169.49,2040,1375.06,3040,5166.0,-1725.64
24,Simba,King,21-Dec-35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1023,1460.74,2023,1684.46,3023,8835.0,-1863.46
22,Cruella,De Vil,10-Mar-62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,1097.91,2021,4261.53,3021,7949.0,-319.71
50,Eduardo,Garcia,2-Jun-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,1049,5259.05,2049,1243.48,3049,6262.0,-862.06
8,Cinderella,Disney,3-Mar-47,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1007,886.73,2007,2977.94,3007,7415.0,-4.16
69,Mauricio,Ornelas-gutierrez,7-Aug-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,1068,4228.62,2068,1218.43,3068,6395.0,-1129.63
25,Gaston,Disney,11-Aug-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1024,168.24,2024,953.27,3024,3397.0,-1264.11
39,Alfonso,Beltran,13-Mar-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,1038,4490.02,2038,3447.36,3038,3177.0,-866.29
75,Yulianna,Torres,20-Aug-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,1074,5064.69,2074,3391.57,3074,5431.0,-1545.62
4,Goofy,Disney,5-Mar-51,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,1441.06,2003,884.26,3003,8647.0,-141.39
11,Aladdin,Disney,11-Oct-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1010,115.62,2010,3391.86,3010,7398.0,-1989.22
12,Simba,Disney,24-Oct-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1011,1297.50,2011,373.47,3011,4931.0,-1220.11
45,Cesar,Cabrera,22-Jun-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,1044,5835.08,2044,1685.66,3044,9182.0,-1906.17
74,Sofia,Hernandez,20-Apr-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,1073,5527.62,2073,740.81,3073,9291.0,-1721.04
54,Gavin,Baechle,16-Sep-58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,1053,5763.18,2053,4768.87,3053,5352.0,-886.85
40,Alfredo,Rodriguez,14-Feb-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,1039,5823.37,2039,3443.94,3039,4766.0,-1734.35
5,Pluto,Disney,20-Mar-37,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1004,1509.75,2004,1571.74,3004,5415.0,-1289.68
68,Manuel,Ruvalcaba,30-Dec-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,1067,4905.30,2067,1038.13,3067,5787.0,-326.57
70,Minh,Dang,21-Dec-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,1069,4634.73,2069,1691.78,3069,5351.0,-1966.94
77,Khandoker,Rahad,15-Jun-57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,1076,220.57,2076,1902.09,3076,4822.0,-157.39
14,Aurora,Disney,12-Jun-60,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1013,308.98,2013,4806.74,3013,8372.0,-169.44
20,Beast,Disney,16-Aug-98,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1019,1822.19,2019,4398.81,3019,7687.0,-160.20
10,Jasmine,Disney,17-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1009,605.05,2009,1087.10,3009,9736.0,-1797.38
9,Ariel,Disney,15-Apr-70,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1008,1535.09,2008,700.61,3008,7822.0,-1810.55
59,Jose,Rodriguez Ortega,8-Sep-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,1058,4409.77,2058,789.31,3058,8718.0,-405.22
32,Quasimodo,Disney,17-Sep-71,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1031,457.99,2031,2302.79,3031,5023.0,-1454.15
103,Daniel,Z,9-Aug-56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,1102,1825.29,2102,4635.00,3102,5697.0,-649.08
102,Daniel,Y,12-Mar-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,1101,738.93,2101,3810.87,3101,6534.0,-199.91
3,Minnie,Mouse,3-Nov-94,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1002,1864.66,2002,312.36,3002,3442.0,-239.31
31,Prince,Eric,10-Feb-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1030,1250.24,2030,4505.00,3030,7019.0,-1413.12
101,Daniel,X,25-Nov-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,1100,122.74,2100,4668.29,3100,5540.0,-817.67
100,Daniel,W,14-Jun-96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,1099,1239.64,2099,261.75,3099,7958.0,-470.23
